,title,year,duration,genres,rating,synopsis,directors,stars
1376,Bergen,2022.0,145,"Biography, Drama, Music",7.0,"Bergen, a valuable turkish arabesque singer, fights to stay afloat despite all the difficulties in her life.","Caner Alper,Mehmet Binay","Farah Zeynep Abdullah,Erdal Besikçioglu,Sebnem Sönmez,Tilbe Saran"
1377,Jhund,2022.0,176,"Biography, Drama, Sport",7.4,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",Nagraj Manjule,"Amitabh Bachchan,Ankush Gedam,Babu Kshatriya,Jerico Robert"
1378,Ashgrove,2022.0,92,Drama,4.4,"An overworked scientist needs to take a weekend off work, so she and her husband head to their farm, but something isn't quite right.",Jeremy LaLonde,"Amanda Brugel,Jonas Chernick,Shawn Doyle,Natalie Brown"
1379,The Last 10 Years,2022.0,124,Drama,6.8,"Twenty-year-old Matsuri Takabayashi learns that she only has ten years to live due to an incurable disease. She decides to not dwell on her life and not to fall in love, but she meets Kazuto Manabe at a school reunion.",Michihito Fujii,"Nana Komatsu,Kentarô Sakaguchi,Yûki Yamada,Nao Honda"
1380,Carol of the Bells,2022.0,122,"Drama, History",8.0,"Immortalised as one of the most scintillating and uplifting Christmas songs, 'Carol of the Bells' adapted from a popular and loved Ukrainian folk melody, came to represent the spirit of ...",Olesya Morgunets,"Janina Rudenska,Joanna Opozda,Andrey Isaenko,Andrey Mostrenko"
1381,Hanau (Deutschland im Winter - Part 1),2022.0,78,Drama,2.3,"A psychological profile of the first QAnon mass murderer. The film shows the night of terror on February 19th, 2020 when a terrorist shot 9 people in three locations, then drove home to kill his mother and himself.",Uwe Boll,"Steffen Mennekes,Radost Bokel,Imad Mardnli,Tito Uysal"
1382,Toolsidas Junior,2022.0,132,"Drama, Family, Sport",7.4,"Watching his father lose the 1994 Club Snooker Championship, 13-year-old Midi takes on the impossible journey to bring his father's name on the Winner's Board.",Mridul Toolsidas,"Sanjay Dutt,Rajeev Kapoor,Varun Buddhadev,Ankur Vikal"
1383,The Last Possession,2022.0,87,"Horror, Thriller",3.7,A young family is forced to relocate to the husband's childhood home and believe they are being terrorized by the ghost of the grandfather who committed suicide there only to find out they're horrifyingly wrong.,Dan Riddle,"Stephen Brodie,Cassie Shea Watson,Tom Proctor,Patricia Rae"
1384,Nowhere,2022.0,110,Drama,6.9,Ex-truck driver André (55) fills his days with fixing up a remote roadhouse. His routine existence is shaken up when he catches homeless teenager Thierry attempting a burglary. Strongly ...,Peter Monsaert,"Ruth Becquart,Koen De Bouw,Sofie Decleir,Sebastien Dewaele"
1385,Blue Thermal,2022.0,103,"Animation, Drama, Romance",6.6,"Tamaki Tsuru, a freshman at Aonagi University, was overzealous about volleyball when she was in high school. Following a romantic rejection due to being an athletic girl, she joined the ...",Masaki Tachibana,"Junya Enoki,Mayu Hotta,Nobunaga Shimazaki"
1386,Aashiqui,2022.0,122,Romance,8.9,,Parag Patil,"Shyam,Amrapali Dubey,Khesari Lal Yadav"
1387,Dear Father,2022.0,137,"Comedy, Crime, Drama",7.8,"After a man falls from his balcony, a police investigation focuses on the man's son and daughter-in-law.",Umang Vyas,"Paresh Rawal,Manasi Parekh,Chetan Dhanani,Kaushambi Bhatt"
1388,Rhino Express,2022.0,129,Comedy,8.5,Four childhood friends go on a Bachelor's party to celebrate one of their engagement. They were so hungover the next morning that they forgot anything. Now they are being chased by goons.,Mani Sinha,"Jeet Baruah,Vivek Bora,Rajib Borthakur,Ranjita Boruah"
1389,Big Crow,2022.0,69,,,"BIG CROW chronicles the legendary influence of the high school basketball state champion-SuAnne Big Crow. The Pine Ridge Indian Reservation reveals how her spirit inspires hope to reclaim their culture, thirty years after her death.",Kris Kaczor,"Chick Big Crow,CeCe Big Crow,Doni DeCory,Rayette Provost"
1390,143,2022.0,130,Romance,8.7,"It's the love story of a poor boy (played by Bhosle) and a rich girl (Sheetal), who are madly in love with each other.",Yogesh Bhosale,"Shetal Ahirroa,Yogesh Bhosale,Shweta Kharat,Nivedita Pagar"
1391,Yellow Board,2022.0,157,"Crime, Drama, Thriller",7.9,"Journey through the lives of Bangalore's taxi drivers and their struggles, and how a hero will rise among them.",Thrilok Reddy,"Pradeep Bogadi,Ahalya Suresh,Sadhu Kokila,Sneha Singh"
1392,The Last Five Years,2022.0,136,Drama,7.8,"Being together for almost five years, Joan expects William to pop the question. They love each other. They live together. Marriage is the only thing that's missing. But for William, it's the hardest to give.",Lemuel Lorca,"Tom Rodriguez,Meg Imperial,Yayo Aguila,Nikko Delos Santos"
1393,Listeners: The Whispering,2022.0,120,Thriller,5.2,"The movie is about a psychologist, Tuong Minh who provides psychotherapy to An Nhien, a young female writer suffering from anxiety disorder. Nhien states that she's obsessed by a certain ...",Khoa Nguyen,"Quang Su,Oanh Kieu,Pham Quynh Anh,Cuong Quoc"
1394,Doraemon the Movie: Nobita's Little Star Wars 2021,2022.0,108,"Animation, Action, Adventure",6.6,"One day, Nobita picks a small rocket from which a small-sized humanoid alien Papi comes out. He came from the planet named 'Pirika' to the Earth to escape from the PCIA army of his planet. ...",Shin Yamaguchi,"Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Subaru Kimura"
1395,One Story Many Ends,2022.0,118,Horror,7.8,"An aspiring actress, a Don and a common guy; where the actress is stuck between career and love. How will she manage both? To add a twist, there is also a haunted flat with evil spirits. A mystery to unfold.",Sanjay Niranjan,"Usha Bachani,Rana Jung Bahadur,Deepak Bhatia,Brandis"
1396,Sebastian PC 524,2022.0,129,"Action, Thriller",4.1,"Sebastian is a police constable suffering from night blindness undergoes frequent transfers. When a murder takes place on his watch, how will he solve the crime?",Balaji Sayyapu Reddy,"Kiran Abbavaram,Nuveksha,Komalee Prasad,Shivasara"
1397,Grandes Horizontales,2022.0,46,Drama,,"It centers on the A-list of courtesans, who amassed fortunes and led dramatic, decadent lives.",Leslie Zemeckis,"Dianna Miranda,Michelle L'Amour,Andrew Kirsanov,Sheri Hellard"
1398,Moksha,2022.0,120,"Crime, Horror, Mystery",9.3,Moksha is a suspense thriller revolving around a sinister masked man and the mystery around his identity. Who is this Mask-Man? and what he is going to do? lies the crux of the film. With a...,Samarth Naik,"Mohan Dhanraj,Thaarak Ponnappa,Aradhya Laxman,Bhoomi Agnani"
1399,Hit A Lick 2,2022.0,80,"Crime, Drama",7.2,After getting cheated out of his money. A prideful gangster goes on a crime spree to regain his money and his respect.,Tye Banks,"Dink Kearney,Blak Roze,Seth Schenall,Stacie Alston"
1400,Main Viyah Nahi Karona Tere Naal,2022.0,118,"Comedy, Drama, Romance",6.1,A Canadian YouTuber visits Punjab for the first time and falls in love with a desi rooted girl from Punjab who eventually helps him discover his roots.,Rupinder Inderjit,"Sonam Bajwa,Bhupinder Barnala,Kanishka Bhagat,Gurnam Bhullar"
1401,Adam & the Water,2022.0,80,"Drama, Fantasy, Romance",9.5,"Adam is stuck. Anxious. Alone. Trapped in a nine to five. Lost without purpose, he meets Eva. As she enters Adam's life, something changes, and a new reality awakens him.",Matthew Appleby,"Qado,Elisa Alemparte,Laine Korn,Matt Consalvo"
1402,Fading Petals,2022.0,93,Drama,8.2,"A young woman appears at a sickly older woman's home in order to assist her. Despite their misgivings, the two slowly open up to one another. However, their affinity is short lived when truths are revealed as matters spiral out of control.",Bradley Charlton,"Charlotte Reidie,Melanie Revill,Tom Metcalf,Gary Raymond"
1403,Sold,2022.0,117,Thriller,8.2,"The lives of a gangster, a journalist and 10 year old Rashmi intertwine when she is kidnapped by child traffickers",Prerana Agarwal,"Shivani r Bala,Bharath,Hanumanthe Gowda,Deepam Kohli"
1404,Sugarless,2022.0,130,Comedy,8.1,"A comedy drama based on the lifestyle disorder ""Diabetes"".",Shashidhar K.M.,"Pruthvee Ambaar,Dattanna,Naveen D. Padil,Priyanka Thimmesh"
1405,Kanneri,2022.0,123,"Drama, Thriller",9.0,The Diddalli incident where the villagers were evicted which leads to a major upheaval in their life along with the numerous horrors that their women go through.,Ninasam Manju,"Anitha Bhat,Hemanth Gowda,Archana Madhusudan,Mutt Mk"
1406,Aghora,2022.0,110,"Fantasy, Horror",8.3,Death is inevitable and no one ever knows how or when it will happen. Here are four people who are caught up in fate and are looking for. Will they cheat death?,N.S. Pramod Raj,"Avinash,Rachana Dashrath,Gowda Punith,Ashok Sharma"
1407,Hippies vs. Squirrelmen,2022.0,86,"Action, Adventure, Drama",,"A band of hippies reunite after being long apart and decide to throw a party for one of their brethren. At the party, one hippie stumbles across a world filled with squirrel people known as Boonglargius.",Diego Mongue,"Chase Bradshaw,Owen Brady,Mikey Brassard,George Crane"
1408,Pas... de quartier,2022.0,90,Drama,,"A musico-drama that takes place in a transvestite cabaret that wants to open up to Ramatuelle. The mayor is enthusiastic but his city council, much less. They will hire henchmen to sabotage the project.",Paul Vecchiali,"Benjamin Barclay,Ugo Broussot,Mona Heftre,Marilyn Lattard"
1409,Life Happened,2022.0,95,Drama,,"Vincent ""Vince"" Mafila, a gardener is his late 50s played by Anele Matoti. He buried his dreams and settled for a quiet life. Vince firmly believes that being a ""good"" person equates ...",Anele Geqiwe,"Anele Matoti,Erin Gemmell,Thaamir Moerat,Vuyiseka Skeyi"
1410,Ashiya no Kyushoku,2022.0,86,Family,,"Nana Nonomura, a nutritionist who has decided to work at an elementary school in Ashiya City. She tries to provide a delicious school lunch by clearing her budget, allergies that students have, religious problems, etc.",Mitsuhito Shiraha,"Ruka Matsuda,Hidekazu Akai,Yôko Akino,Erika Asô"
1411,Riff Trax: Things,2022.0,68,"Comedy, Horror",,,"Bill Corbett,Kevin Murphy,Michael J. Nelson",
1412,Sher Gujjar,2022.0,139,Action,8.4,"Narayan Gurjar (Gajendra Chauhan) is a very cultured self respecting rural youth, Due to crop failure in the village he has to work as a security supervisor in a factory. Narayan Gurjar has...",Aakash Gupta,"Gajendra Chauhan,Mushtaq Khan,Ram Kashyap,Naresh Vohra"
1413,Lil' Yogis Yoga Class: Just Like You,2022.0,37,Animation,,"Hey kids, it's time for yoga class. Join the Lil' Yogis as they learn basic yoga poses for children. Catch the love of yoga at an early age with this simple instructional video. Let's learn...",Ryan Young,
1414,Letters From a Traveler,2022.0,6,,,A dreamy artist moves back to NYC after traveling the world and reflects on her constant desire to start anew.,Benjamin David Hoffman,Darby Gaëlle Hannon
1415,Nainaa,2022.0,103,"Comedy, Drama, Thriller",,"Rom-com, where hero tries to convince his love that life is more than society standards, and he is trying to prove himself. Hailing from middle class family, heroine is keen on her way of life.",Sridhar Siya,"Gouri Nair,Rj Sunil,Neha Aithal,Palti Govind"
1416,The Chrysalis,2022.0,6,,,It follows a sex worker as she grapples with the values of her upbringing and a global pandemic that threatens her livelihood.,Yago Hunt-Laudi,
1417,Kids of Paradise,2022.0,13,,,It follows a fairy tale about the relationships between the individual and the collective.,Sha Mo,
1418,35,2022.0,91,Drama,,,Sunny Peters,"Opeyemi Adekoya,Ajibola Ademola,Olamide Akele,Okikiola Bakare"
1419,Omoge Carwash,2022.0,92,Comedy,,"A group of young women establish a car wash service that attracts a lot of men, but there seems to be a secret agenda behind it.",Temitope Duker,"Lateef Adedimeji,Oluwadamipe Adekoya,Akeem Adeyemi,Eniola Ajao"
1420,Loving,2022.0,8,,,The history of romantic love between men is told through hundreds of moving and tender photographs taken between 1850 and 1950.,Matt Hamilton,
1421,Desperate for Marriage,2022.0,106,"Comedy, Drama, Romance",5.6,Journalist Lyuba's life is going according to plan: she works as a TV host and has a rich and successful fiancée. The plan is messed up when Lyuba's cell phone dies. She asks a random ...,Sonya Karpunina,"Evgeniya Akhremenko,Marina Aleksandrova,Kristina Asmus,Yuliya Aug"
1422,Miral,2022.0,115,Drama,5.9,A husband tries to save his family from mysterious occurrences that are happening around them,M. Sakthivel,"Kaavya Arivumani,Arjai,Vani Bhojan,Meera Krishnan"
1423,Unexpected,2022.0,74,Thriller,,A simple housewarming party turns into a very shocking unexpected outcome. Liquor mixed with emotions and a house full of people who don't like each other is a bad way or a good way to seek revenge on an unforgiving past.,"Michelle Carroll,Isaac Chandler,Robin Charles-Living,Christian Davis",
1424,Mutant Ghost Wargirl,2022.0,71,Sci-Fi,5.4,"In the future world, technology is advancing by leaps and bounds. A mysterious organization has emerged in the world, specializing in organizing underground ""competition"" for the rich - the...","Zhenzhen Cui,Beige Liu,Na Shang",
1425,Eikhoigi Yum,2022.0,89,,7.9,,Romi Meitei,"Bhumeshore,Nganthoibi,Ningthoujam Priyojit,Sori Senjam"
1426,Iron Kung Fu Fist,2022.0,90,Action,,,Kwong-Hing Ngan,"Zaimire Aheiti,Norman Chu,Edward Chui,Siu-Wong Fan"
1427,A Cold Farewell,2022.0,56,Animation,,"""A Cold Farewell"" is a Black and White Film Noir made in the style of Classic Hollywood Movies. Set in Chicago of 1955, it follows Private Detective Rick Stancer on a dangerous case involving the wife of an old war buddy.",Art Medina,"Greg Norgaard,Emily Ember,Jessica Catanzano,Art Medina"
1428,Mayonaka,2022.0,77,Drama,,An aspiring young singer plans to lose her virginity or commit suicide on her birthday.,Robert Capria,"Nanami Akatsuki,Antonio Angelov,Angelo Minoru Kawajiri,Eigi Kodaka"
1429,Alles auf Null,2022.0,46,Drama,,"Mara and her children Lars, Viola and Jessica live with the loss of husband and father Stefan, who has been missing since a typhoon. Mara bears this emptiness with humility, the children ...",Marco Hausammann-Gilardi,"Alisha Anaya,Rogerio Arber,Olivia Betschart,Nicole Bonello"
1430,Game of Fate,2022.0,130,Drama,,,Emeka Amakeze,"Emeka Amakeze,Frankincense Eche-Ben,Adaeze Eluke,Chinyere Emmanuel"
1431,Kurosawa's Grave,2022.0,14,,,"Viewed through the eyes of an expert cinephile, this pilgrimage to Japan and love letter to Akira Kurosawa will transport the audience to a moment where modernity meets nostalgia.",Ben Lopez,
1432,Habiba un amour en confinement,2022.0,85,Drama,,,Hassan Benjelloun,"Fatima Zahra Baladi,Fattah Ngadi,Abdelghani Sannak"
1433,CODE-D: The House of the 8 Women,2022.0,104,Sci-Fi,,"In the year 2057, citizens of the Federal Government of Japan have been divided into five rankings based on the law. 8 women in Class D live together in a designated shelter. Their arms ...",Kyoichi Komoto,"Ako Suizu,Asuka Shingu,Sufa,Maari Fujiu"
1434,Affairs of the Heart: A Monolouge Series,2022.0,67,Drama,,"Affairs of the Heart is an original, collaborative monologue project involving 11 North Carolina playwrights writing on a common theme: infidelity. Love, lust, grief, desire, revenge, and ...",Meredith DiPaolo Stephens,"Sarah Nicole Dipaolo,Kasha Ely,L.M. Kirwan,Bobby Liggett"
1435,The Reef: Stalked,2022.0,93,"Horror, Thriller",4.2,"After her sister's murder, Nic, her younger sister and two friends seek solace through a Pacific island kayaking adventure. Hours into the trip the women are stalked by a shark and must band together, face their fears and save each other.",Andrew Traucki,"Teressa Liane,Ann Truong,Kate Lister,Saskia Archer"
1436,Broken Soldier,2022.0,93,"Drama, Thriller",3.4,A war veteran suffering from PTSD befriends a teenage girl.,Matthew Coppola,"Mark Kassen,Sophie Turner,Ray Liotta,Ivana Milicevic"
1437,Once Upon a Time in Serbia,2022.0,135,"Comedy, Drama, Romance",7.2,"During and after World War II, two young men and two young ladies had very different destinies. Dine was taken to Paris by the Allies where he learned how beautiful life can be under the ...",Petar Ristovski,"Viktor Savic,Nemanja Oliveric,Teodora Ristovski,Sloboda Micalovic"
1438,If Walls Could Talk,2022.0,90,Thriller,5.6,"When her father dies, Olivia moves home to help her mother, who claims there is a ghost in the house. When she breaks her hip, Olivia hires a health aide who seem too good to be true.",Mariah Murlowski,"Margo Parker,Nicole Danielle Watts,Conner Floyd,Gina Vitori"
1439,Parsley,2022.0,85,Drama,7.0,"A pregnant woman, left alone in the wilderness near the Dominican border, tries to escape the massacre of Haitians in 1937.",José María Cabral,"Cyndie Lundy,Ramón Emilio Candelario,Vladimir Acevedo,Juan Maria Almonte"
1440,Red Jungle,2022.0,92,Animation,6.5,"In 2008, FARC second-in-command Raul Reyes, was killed in a raid orchestrated by the CIA and the Colombian army. His computers were found: ten years of thousands of emails written by the ...","Zoltan Horvath,Juan José Lozano","Álvaro Bayona,Emilia Ceballos,Julián Díaz,Vera Mercado"
1441,Une histoire provisoire,2022.0,85,Drama,7.1,"Grappling with a mid-life crisis, Sacha leaves his girlfriend and escapes to his grandparents' Airbnb. He is surprised by the presence of Marjan, an Iranian woman who is facing her own ...",Romed Wyder,"Pooneh Hajimohammadi,Felipe Castro,Elisabet Johannesdottir,Sophie Mousel"
1442,Bay Area Gangstaz,2022.0,120,Crime,,When a Thug gets out of jail he tries to get back into the drug game to support his family to only be wanted dead by the towns notorious gang.,Bavgate,"Rappin' 4-Tay,Bavgate,Juganot da Beast,Pooh Sauce"
1443,Winter Wasteland,2022.0,71,Horror,,"20 years ago, a tragedy struck a small community and things haven't been the same since. Now, the folks of Cherry Glenn must face it's past during what is supposed to be the most wonderful ...",David Mankey,"Ashley Baer,Brandon Baer,Mary Blake,Sue Ann Brick"
1444,Mr. Francesco,2022.0,94,"Comedy, Crime, Thriller",,"Investigating a murder, Olivetti Williams meets Giovanni Francesco. After a horrific incident and the death of his friend. Mr Francesco and others accuse him wrongfully of the murder, driving him insane",Sawyer,"Brody,Cole,Cortland,Gabe"
1445,The Fourth Musketeer,2022.0,85,"Action, Adventure",4.5,"At the behest of his father, young d'Artagnan travels from rural Gascony to Paris, where he becomes embroiled in a devious plot between the King's Musketeers and the Guardsmen of Cardinal Richelieu.",Steve Lawson,"Sean Cronin,Ciaron Davies,Ade Dimberline,Jonathan Hansler"
1446,2 Talaat Harb,2022.0,115,Drama,5.4,"Four stories take place in a furnished apartment that we follow through the doorman and his family who live on top of the building in a miserable room. In the first story, a doctor tries to...",Magdy Ahmed Aly,"Samir Sabri,Mahmoud Qabeil,Abeer Sabry,Ahmad Wafiq"
1447,Chihuly: Roll the Dice,2022.0,27,,,It follows Dale Chihuly as he pushes the glass medium to its limits with a new concept.,Peter West,
1448,Kila Mtu Chini,2022.0,63,Thriller,,Two bank robbers take over HRM bank while a struggling reporter and bank manager interestingly get stuck in in the safe room. Not everything is what it seems.,Joan Kabugu,"Brian Abajah,Douglas Muigai,Wakio Mzenge"
1449,Conducting Life,2022.0,31,,,It follows a gifted musician as he pursues his dream of achieving mastery in orchestral conducting.,Diane Moore,
1450,Le Siècle des couturières,2022.0,90,Crime,,"The dressmakers forged the first French industry, from the North textile factories to the Parisian sewing workshops. For a long time, these women were ""invisible"" even in the Pantheon of ...","Jérôme Lambert,Philippe Picard",
1451,The Great World of Gregory Blackstock,2022.0,11,,,"It centers on Gregory Blackstock as he channels his neurodivergence into artistic acclaim in a time where the word ""autistic"" was not yet used.",Drew Christie,
1452,House of Darkness,2022.0,88,"Comedy, Horror, Mystery",4.7,"Hap offers Mina a ride home with ulterior motives, but his night takes a turn when he learns she lives in a creepy American castle...and the shadowy figures in the corridors make it clear that he isn't welcome.",Neil LaBute,"Kate Bosworth,Justin Long,Gia Crovatin,Lucy Walters"
1453,Hillwalkers,2022.0,88,"Horror, Thriller",4.2,"When hikers trespass onto private land, an altercation with the landowner descends into violence.",Tom Cosgrove,"Mark Agar,Elise Brennan,Michael Cloke,Shane Connellan"
1454,The Girl on the Mountain,2022.0,94,"Drama, Thriller",4.5,"When a reclusive backwoodsman finds a mute little girl wandering alone in the forest, he must protect her from the evil forces determined to end her life.",Matt Sconce,"Megan Elizabeth Barker,Daniel O'Reilly,Kenzie Sconce,Ryan Kos"
1455,Chloe's Pocketbook Diary,2022.0,104,Crime,3.7,From the age of 13 Chloe Addison (Davina Works) has wanted to be in her family's business. Her mother Queen (Nae Su) is the one in charge of operations and Chloe aspires to be just like her...,Gin Blanton,"Davina b Works,Nae Su,Juanita Rain Willis,Michael G. Weaver"
1456,Scooty,2022.0,46,Drama,6.3,"Anu Bahar, a girl from a middle class family, has to use regular public transport. Almost every day she was being harassed on the street, in the car, on the sidewalk. When this daily ...",Md. Arifur Rahman,"Siam Raihan,Nazifa Tushi"
1457,Pledge to Protect,2022.0,135,Biography,,"The reality-based Pledge To Protect movie construct chronicles harsh realities of women, children enslaved for driving profits for human trafficking industry.",Suresh Zhade,"Vikrant Anand,Paresh Brahmbhatt,Bhakti Chavan,Mahesh Dada Devkate"
1458,Code Noir: Les Aventures du Premier Conte de Monte Cristo,2022.0,47,History,,"Code Noir' shares the story of the first Black French general. You've probably heard of the novel ""The Count of Monte Cristo,"" but have you heard of the first Black French general who ...",Lauren Morris,"Carolyn Cook,Thandiwe Thomas DeShazor,Michelle Taylor Willis"
1459,Passion Fruit,2022.0,80,Drama,,"Romeo is a Black, Gay, British-Jamaican boy growing up on a North London estate. Around the corner, joy awaits - Passion Fruit is about family, culture and community - embracing them, surviving them, and coming out shimmering in gold dust.",Melina Namdar,"Dior Clarke,Hayden Mampasi"
1460,Slow Pro Tour,2022.0,54,Sport,,The duo reunite for the first time after 2 years to embark on a 5-day journey across the Canary Islands.,Mike Webster,"Conor Dunne,Larry Warbasse"
1461,Finding Gulo,2022.0,27,,,It follows a backcountry ski guide and a field biologist as they set out to document and protect an elusive population of wolverines.,"Colin Arisman,Tyler Wilkinson-Ray",
1462,Enkindle,2022.0,114,Drama,,,Great Valentine Edochie,"Emma Ayalogu,Anthony Egbeku,Bryan Emmanuel,Chesan Nze"
1463,Ne m'oublie pas,2022.0,90,Drama,,,Mathieu Grillon,"Magalie Vaé,Nolan Gresle,Mathieu Grillon,Alex Guéry"
1464,Lucid Dream,2022.0,17,"Drama, Family, Sci-Fi",,A boy tries to escape his family problem by lucid dreaming and eventually choose his life and family in his dream rather than his real life and family,Sean Dustin,Sean Dustin
1465,Do Not Let Your Dragon Spread Germs,2022.0,16,Animation,,Your dragon loves to hug and high-five and shake hands and sing and blow bubbles and share happiness everywhere she goes. Dragons want to spread joy to everyone. But some of those actions ...,Andy T. Jones,Travis Baldree
1466,A Boat for My Mom,2022.0,7,,,Two border crossing stories from a mother are told through the lens.,Susana Canales Barrón,
1467,California Natural by Martha Stoumen,2022.0,10,,,It follows a sensuous immersion into the world of a natural winemaking pioneer.,Lindsey Hagen,
1468,Horseplay Jr: Puzzled,2022.0,30,Animation,,"Join Scout the horse and Axle the Plane for a whole new adventure in learning. Class is in session with Horseplay, and toddlers are going to love what the flying buddies have in store for ...",Sandy Lynn Smith,
1469,The Ocean Solution,2022.0,14,,,"It centers on Bren Smith, who is an ocean farming pioneer, and his vertical kelp and shellfish farms can transform the way food is produced.",Darcy Hennessey,
1470,Goliath,2022.0,121,"Drama, Thriller",6.8,"France, sports teacher by day, worker by night and activist; Patrick, obscure and lonely Parisian lawyer specializing in environmental law; and Mathias, lobbyist and man in a hurry, will ...",Frédéric Tellier,"Gilles Lellouche,Pierre Niney,Emmanuelle Bercot,Laurent Stocker"
1471,JGA: Jasmin. Gina. Anna.,2022.0,118,"Comedy, Drama, Romance",5.2,Two bachelorette) parties meet under the Ibizan sun. This could simply be a fun getaway for the single girls--if the future groom wouldn't be Jasmin's ex-boyfriend and her own wedding not just a fake one.,Alireza Golafshan,"Taneshia Abt,Angelo Borer,Katjana Gerz,Julia Hartmann"
1472,Kung Fu Zohra,2022.0,100,"Action, Drama",5.4,"Convinced that a divorce would separate her from her little girl, Zohra cannot bring herself to leave her husband despite his violent behavior. She suffers his blows in silence. But all that changes when she meets Chang Sue.",Mabrouk El Mechri,"Sabrina Ouazani,Ramzy Bedia,Eye Haidara,Tien Shue"
1473,In Our Prime,2022.0,117,Drama,6.7,"Follows Ji-woo, an outcast in a prestigious private high school who meets Hak-sung, the school's security guard, and asks him to teach him math and become friends, but their friendship is at risk after an incident in school.",Dong-hoon Park,"Park Hae-joon,Dong-hwi Kim,Choi Min-sik,Byeong-eun Park"
1474,Angry Young Men,2022.0,85,"Adventure, Drama",7.5,"A surreal coming of age tale set in the barren gangland town of Mauchton, Scotland.",Paul Morris,"Paul Anderson,Stephen Arthur,Ibrahim Bakhait,Lawrie Banks"
1475,Kalpataru (The Tree),2022.0,101,Drama,7.6,It is a movie drama on awareness of environmental Importances in daily Life .,"Pramode Kumar,Ravi Shankar Prasad","Pramode Kumar,Rohit Raj,Sonamoni Jayant Gadekar,Susheel Verma"
1476,A Woman in the Shadow,2022.0,102,"Crime, Drama, Thriller",,"Sara, a young and beautiful woman who has just come out of a divorce that affected her deeply, meets Said, who falls in love at first sight, leading to marriage, but the question arises, ...",Jamal Belmejdoub,"Nadia Kounda,Younes Bouab,Mohamed Khouyi,Saïda Baadi"
1477,Sweet Temptation,2022.0,121,Comedy,,"From the mind that brought you Rosemary's Squid comes this film, which follows a no named lad on an adventure. It is his eighteenth birthday, and it will be his day to embark and indulge ...",Francis Burgos,"Freddy Burgos,Aeneus Cohen,Hanasi Halawi,Issac Mendoza"
1478,Message of an Endless Night,2022.0,3,,,A recording during a sleepless night while in isolation in April 2020 reveals one night of many in a nightmare that seems endless.,Tiago Minamisawa,
1479,Miika,2022.0,5,,,"Locked in a trance by the horrors she has witnessed, a 14-year-old Ugandan girl decides to take matters into her own hands.",Shevon Nsiimenta,
1480,Confusion Will Be My Epitaph,2022.0,5,,,It follows a lonely little girl as she shares her daily life with illness.,"Marine Beasse,Corentin Cormont,Benjamin Germe,Hadrien Maton,Arnaud Mege,Coline Thelliez",
1481,The Contractor,2022.0,103,"Action, Drama, Thriller",5.8,"A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.",Tarik Saleh,"Chris Pine,Gillian Jacobs,Sander Thomas,Toby Dixon"
1482,The Black Spider,2022.0,116,"Drama, Thriller",5.2,"The courageous young midwife Christine makes a pact with the devil to save her village from the brutal terror of the Teutonic Knights. Punished by a spider plague, Christine goes from savior to hunted.",Markus Fischer,"Marin Blülle,Philipp Droste,Mária Dér,Marina Gera"
1483,The Hyperions,2022.0,90,"Action, Comedy",5.3,"In 1960, Professor Ruckus invented the Titan badge - a device that enables humans to have a particular superpower. Cut to 1979 when two of the original superheroes are all grown up and want their Titan badges back.",Jon McDonald,"Cary Elwes,Penelope Mitchell,Elaine Tan,Alphonso McAuley"
1484,Jezabel,2022.0,108,"Crime, Thriller",8.2,"Four upper-class high school students who live carefree between drugs, games and love until one of the girls, Eli, is brutally killed. Sixteen years later, the memory of the crime torments Alain, another member of the group.",Hernán Jabes,"Erich Wildpret,Johanna Juliethe,Gabriel Agüero,Maria Conchita Alonso"
1485,40 Years Young,2022.0,81,Comedy,4.4,"After turning 40, César is invited to a culinary contest in Cancún, but a bitter discovery threatens to destroy his family as well as his chances to win the competition.",Pietro Loprieno,"Erick Elias,Gaby Espino,Adal Ramones,Antonio Fortier"
1486,Night's End,2022.0,81,Horror,4.0,"An anxious shut-in moves into a haunted apartment, hiring a stranger to perform an exorcism which quickly takes a horrific turn.",Jennifer Reeder,"Michael Shannon,Kate Arrington,Theo Germaine,Daniel Kyri"
1487,Etharkkum Thunindhavan,2022.0,151,"Action, Crime, Drama",6.5,"A lawyer turns judge jury and executioner and goes after a gang, led by a minister's son, that threatens women with videos of them.",Pandiraj,"Suriya,Priyanka Arulmohan,Sathyaraj,Saranya Ponvannan"
1488,Hvidstengruppen II - De efterladte,2022.0,130,"Drama, War",6.7,"We follow Tulle Fiil and her sister Gerda Fiil during WW2, who are sentenced to the horrors of German prison. At home at the inn in Hvidsten, Gudrun fights with her daughter Bitten to get her daughters home.",Anne-Grethe Bjarup Riis,"Marie Bach Hansen,Bodil Jørgensen,Laura Winther Møller,Selma Sophia Høst"
